objektidentitet,lannamn,kommunnamn,sockenstadnamn,
12C7A5E0-B8F3-42A6-ABB7-7F4B314C5167,Uppsala,"Uppsala, Uppsala, Heby, Tierp",Björklinge,
12CF90C4-2528-4DAB-92BE-2196CD45F1A0,Östergötland,Linköping,Östra Harg,
12D77312-58CC-4166-B0BF-08A1CEAEE4C3,Västra Götaland,"Tanum, Munkedal, Dals-Ed",Töftedal,
12E0CAB7-7BDD-46A1-9E51-227F181D3529,Skåne,"Eslöv, Hörby, Höör",Högseröd,
12F92BEA-BB1E-47B1-B6A0-7DA44386C8A9,Skåne,"Sjöbo, Tomelilla, Hörby, Sjöbo",Fränninge,
130C52F3-2BCF-4922-8F77-FDA08F7D74D1,Gävleborg,"Ovanåker, Ovanåker, Ljusdal",Ovanåker,
131449BD-189C-41C3-BF26-41F89E8D456E,"Kalmar, Blekinge, Kalmar","Torsås, Karlskrona, Torsås, Kalmar",Torsås,
132E6817-D008-4D02-B8DA-392C3C629575,Västra Götaland,Åmål,Tydje,
1338CEFD-777D-4C2E-84CF-55792DD7CB45,Stockholm,"Södertälje, Salem, Nykvarn, Södertälje",Södertälje,
13751A71-940F-43C7-867C-31C6CD68EDF6,"Jönköping, Västra Götaland","Mullsjö, Ulricehamn, Habo",Nykyrka,
13951ADA-5A01-47A2-AEA9-2D0671BA7D79,Kalmar,Mörbylånga,Södra Möckleby,
13B4C104-6803-4AEE-B0E3-7D0A3E6BD681,"Södermanland, Östergötland, Södermanland, Örebro","Vingåker, Finspång, Vingåker, Katrineholm, Örebro",Västra Vingåker,
13C284AA-AC88-493A-AF01-5088BED0C0E8,Halland,Halmstad,Söndrum,
13E175F9-A5E7-449C-8D52-8AFB421DDE83,Skåne,"Klippan, Klippan, Perstorp, Örkelljunga",Vedby,2022-06-03
13E1DF79-10CF-4401-923E-834A56D841AF,Södermanland,"Katrineholm, Katrineholm, Vingåker, Flen, Eskilstuna",Floda,
13E43EB3-1DCC-4E3B-AF67-B034C12FE177,"Jönköping, Västra Götaland, Jönköping","Jönköping, Ulricehamn, Jönköping",Mulseryd,
13F39EB9-CF7E-4DFA-8947-A29678197E0E,Västra Götaland,"Vänersborg, Färgelanda, Munkedal",Färgelanda,
13F9A132-7D0A-4EB1-A80E-050D2AEDCE41,Södermanland,"Nyköping, Flen, Gnesta, Flen, Gnesta",Hyltinge,
1402B39C-5EEC-4CE9-BC51-02FFB7E8DE19,Skåne,Ängelholm,Ängelholm,
141F9D4D-95B5-44DF-B116-DEDD7610D8CA,Skåne,"Eslöv, Svalöv, Klippan",Röstånga,2022-07-24
1424577B-182C-4D0B-A8DA-F38A397E7213,Jämtland,"Åre, Krokom, Åre",Alsen,
